2026-05-04T20:38:30.984426576+0000: Notice Shell spawned by untrusted binary | parent_exe=/usr/lib/postgresql/18/bin/postgres parent_exepath=/usr/lib/postgresql/18/bin/postgres pcmdline=postgres --single -F -O -j -c search_path=pg_catalog -c exit_on_error=true -c log_checkpoints=false template1 gparent=sh ggparent=initdb aname[4]=bash aname[5]=containerd-shim aname[6]=systemd aname[7]=<NA> evt_type=execve user=postgres user_uid=999 user_loginuid=-1 process=sh proc_exepath=/usr/bin/dash parent=postgres command=sh -c -- locale -a terminal=0 exe_flags=EXE_LOWER_LAYER container_id=8d698964f895 container_name=s-postgres_credentials-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:38:31.003869273+0000: Notice Shell spawned by untrusted binary | parent_exe=/usr/lib/postgresql/18/bin/postgres parent_exepath=/usr/lib/postgresql/18/bin/postgres pcmdline=postgres --single -F -O -j -c search_path=pg_catalog -c exit_on_error=true -c log_checkpoints=false template1 gparent=sh ggparent=initdb aname[4]=bash aname[5]=containerd-shim aname[6]=systemd aname[7]=<NA> evt_type=execve user=postgres user_uid=999 user_loginuid=-1 process=sh proc_exepath=/usr/bin/dash parent=postgres command=sh -c -- locale -a terminal=0 exe_flags=EXE_LOWER_LAYER container_id=3aac9b09ecb9 container_name=s-postgres_gql-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:39:28.048646521+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=3aac9b09ecb9 container_name=s-postgres_gql-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:39:28.064902895+0000: Notice Ingress remote file copy tool launched in container | evt_type=execve user=pgadmin user_uid=5050 user_loginuid=-1 process=wget proc_exepath=/bin/busybox parent=containerd-shim command=wget -O - http://localhost:80/misc/ping terminal=0 exe_flags=EXE_LOWER_LAYER container_id=57a49107d986 container_name=s-pgadmin-1 container_image_repository=dpage/pgadmin4 container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:39:28.156947709+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=8d698964f895 container_name=s-postgres_credentials-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:40:28.140596639+0000: Notice Ingress remote file copy tool launched in container | evt_type=execve user=pgadmin user_uid=5050 user_loginuid=-1 process=wget proc_exepath=/bin/busybox parent=containerd-shim command=wget -O - http://localhost:80/misc/ping terminal=0 exe_flags=EXE_LOWER_LAYER container_id=57a49107d986 container_name=s-pgadmin-1 container_image_repository=dpage/pgadmin4 container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:40:28.173152146+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=3aac9b09ecb9 container_name=s-postgres_gql-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:40:28.240672812+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=8d698964f895 container_name=s-postgres_credentials-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:41:28.213648142+0000: Notice Ingress remote file copy tool launched in container | evt_type=execve user=pgadmin user_uid=5050 user_loginuid=-1 process=wget proc_exepath=/bin/busybox parent=containerd-shim command=wget -O - http://localhost:80/misc/ping terminal=0 exe_flags=EXE_LOWER_LAYER container_id=57a49107d986 container_name=s-pgadmin-1 container_image_repository=dpage/pgadmin4 container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:41:28.274062355+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=3aac9b09ecb9 container_name=s-postgres_gql-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
2026-05-04T20:41:28.328977764+0000: Warning Sensitive file opened for reading by non-trusted program | file=/etc/shadow gparent=containerd-shim ggparent=systemd gggparent=<NA> evt_type=openat user=root user_uid=0 user_loginuid=-1 process=pg_isready proc_exepath=/usr/bin/perl parent=sh command=pg_isready /usr/bin/pg_isready terminal=0 container_id=8d698964f895 container_name=s-postgres_credentials-1 container_image_repository=postgres container_image_tag=latest k8s_pod_name=<NA> k8s_ns_name=<NA>
